# Total Pointers Found: 1054
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 1054
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
14FAC | __text | 22018 | _NDR_record | struct_pointer | struct_data
14FB4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
150C4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
150CC | __text | 22018 | _NDR_record | struct_pointer | struct_data
151F4 | __text | 22018 | _NDR_record | struct_pointer | struct_data
151FC | __text | 22018 | _NDR_record | struct_pointer | struct_data
152FC | __text | 22018 | _NDR_record | struct_pointer | struct_data
15304 | __text | 22018 | _NDR_record | struct_pointer | struct_data
1540C | __text | 22018 | _NDR_record | struct_pointer | struct_data
15414 | __text | 22018 | _NDR_record | struct_pointer | struct_data
