# Total Pointers Found: 2222
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 2222
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
66E0 | __text | A19F | sel_verticalAccuracy | string_pointer | "verticalAccuracy"
66E0 | __text | E268 | selRef_verticalAccuracy | data_pointer | data_item_size=8
66F8 | __text | A1B0 | sel_course | string_pointer | "course"
66F8 | __text | E270 | selRef_course | data_pointer | data_item_size=8
670C | __text | A1B7 | sel_speed | string_pointer | "speed"
670C | __text | E278 | selRef_speed | data_pointer | data_item_size=8
6720 | __text | A1BD | sel_timestamp | string_pointer | "timestamp"
6720 | __text | E280 | selRef_timestamp | data_pointer | data_item_size=8
6760 | __text | A1BD | sel_timestamp | string_pointer | "timestamp"
6760 | __text | E280 | selRef_timestamp | data_pointer | data_item_size=8
6774 | __text | A1C7 | sel_initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:timestamp: | string_pointer | "initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:timestamp:"
6774 | __text | E290 | selRef_initWithCoordinate:altitude:horizontalAccuracy:verticalAccuracy:timest... | data_pointer | data_item_size=8
6798 | __text | 940A | sel_autorelease | string_pointer | "autorelease"
6798 | __text | E288 | selRef_autorelease | data_pointer | data_item_size=8
67E4 | __text | 9FDD | sel_allBundleIdentifierConfig | string_pointer | "allBundleIdentifierConfig"
67E4 | __text | E1C8 | selRef_allBundleIdentifierConfig | data_pointer | data_item_size=8
67F4 | __text | 9E08 | sel_objectForKey: | string_pointer | "objectForKey:"
67F4 | __text | E140 | selRef_objectForKey: | data_pointer | data_item_size=8
6810 | __text | A08E | sel_loadConfig | string_pointer | "loadConfig"
6810 | __text | E210 | selRef_loadConfig | data_pointer | data_item_size=8
6824 | __text | E530 | classRef_NSNotificationCenter | data_pointer | data_item_size=8
6824 | __text | E950 | _OBJC_CLASS_$_NSNotificationCenter | unknown_pointer | 
682C | __text | A01E | sel_defaultCenter | string_pointer | "defaultCenter"
682C | __text | E1F0 | selRef_defaultCenter | data_pointer | data_item_size=8
6838 | __text | A0AD | sel_postNotificationName:object: | string_pointer | "postNotificationName:object:"
6838 | __text | E220 | selRef_postNotificationName:object: | data_pointer | data_item_size=8
683C | __text | C4F0 | cfstr_NotificationCh_0 | struct_pointer | struct_data
6854 | __text | E598 | _OBJC_IVAR_$_OTRAppObject._serviceIsRuning | data_pointer | data_item_size=4
6878 | __text | E500 | classRef_NSMutableDictionary | data_pointer | data_item_size=8
687C | __text | E500 | classRef_NSMutableDictionary | data_pointer | data_item_size=8
687C | __text | E998 | _OBJC_CLASS_$_NSMutableDictionary | unknown_pointer | 
